nivel,grupo,indicador,resultado,cv
"dist","010609","desague_red_publica",.681255,.27905
"dist","010609","electricidad",1,0
"dist","010609","cocina_lena",.6716099,.2185528
"dist","010611","piso_tierra",.25,0
"dist","010611","agua_red_publica",1,0
"dist","010611","desague_red_publica",.125,0
"dist","010611","electricidad",1,0
"dist","010611","cocina_lena",.75,0
"dist","010701","piso_tierra",.3611338,.1847385
"dist","010701","agua_red_publica",.9492221,.0165295
"dist","010701","desague_red_publica",.6263553,.1251934
"dist","010701","electricidad",.9155954,.0404727
"dist","010701","cocina_lena",.6249493,.1252604
"dist","010702","piso_tierra",.6246358,.0755684
"dist","010702","agua_red_publica",.9141888,.0423456
"dist","010702","desague_red_publica",.3704735,.4791607
"dist","010702","electricidad",.9672711,.0214416
"dist","010702","cocina_lena",.9732708,.0204207
"dist","010703","piso_tierra",.4395178,.170075
"dist","010703","agua_red_publica",.7993302,.1711598
"dist","010703","desague_red_publica",.5464703,.5560415
"dist","010703","electricidad",.9694038,.0301508
"dist","010703","cocina_lena",.8828266,.0446926
"dist","010704","piso_tierra",.5123033,.4868103
"dist","010704","agua_red_publica",.4159692,1.049213
"dist","010704","desague_red_publica",0,
"dist","010704","electricidad",1,0
"dist","010704","cocina_lena",.875,1.19e-17
"dist","010705","piso_tierra",.5140271,.2807331
"dist","010705","agua_red_publica",.8826546,.0945852
"dist","010705","desague_red_publica",.5001509,.3157711
"dist","010705","electricidad",.9788839,.0232606
"dist","010705","cocina_lena",.7417798,.1162637
"dist","010706","piso_tierra",.2206398,.2563512
"dist","010706","agua_red_publica",.8517963,.1348426
"dist","010706","desague_red_publica",.639742,.178768
"dist","010706","electricidad",.9835329,.017787
"dist","010706","cocina_lena",.5902171,.0806336
"dist","010707","piso_tierra",.8333333,8.31e-18
"dist","010707","agua_red_publica",.3333333,4.15e-17
"dist","010707","desague_red_publica",.3333333,4.15e-17
"dist","010707","electricidad",.8333333,8.31e-18
"dist","010707","cocina_lena",1,0
"dist","020101","piso_tierra",.0762669,.5642025
"dist","020101","agua_red_publica",1,0
"dist","020101","desague_red_publica",.9536225,.0466045
"dist","020101","electricidad",1,0
"dist","020101","cocina_lena",.4916163,.25109
"dist","020103","piso_tierra",.875,0
"dist","020103","agua_red_publica",.75,0
"dist","020103","desague_red_publica",.125,0
"dist","020103","electricidad",.875,0
"dist","020103","cocina_lena",.875,0
"dist","020105","piso_tierra",.1937933,.2240264
"dist","020105","agua_red_publica",.9818695,.009406
"dist","020105","desague_red_publica",.8774688,.0384474
"dist","020105","electricidad",.9893773,.0107575
"dist","020105","cocina_lena",.589667,.1356098
"dist","020106","piso_tierra",.75,0
"dist","020106","agua_red_publica",1,0
"dist","020106","desague_red_publica",1,0
"dist","020106","electricidad",1,0
"dist","020106","cocina_lena",1,0
"dist","020108","piso_tierra",.75,0
"dist","020108","agua_red_publica",1,0
"dist","020108","desague_red_publica",0,
"dist","020108","electricidad",1,0
"dist","020108","cocina_lena",1,0
"dist","020110","piso_tierra",.375,0
"dist","020110","agua_red_publica",1,0
"dist","020110","desague_red_publica",1,0
"dist","020110","electricidad",1,0
"dist","020110","cocina_lena",.875,0
"dist","020111","piso_tierra",1,0
"dist","020111","agua_red_publica",.7142857,1.94e-17
"dist","020111","desague_red_publica",0,
"dist","020111","electricidad",1,0
"dist","020111","cocina_lena",1,0
"dist","020112","piso_tierra",.2857143,4.85e-17
"dist","020112","agua_red_publica",1,0
"dist","020112","desague_red_publica",.8571429,1.62e-17
"dist","020112","electricidad",1,0
"dist","020112","cocina_lena",1,0
"dist","020201","piso_tierra",.625,0
"dist","020201","agua_red_publica",1,0
"dist","020201","desague_red_publica",.625,0
"dist","020201","electricidad",1,0
"dist","020201","cocina_lena",.75,0
"dist","020204","piso_tierra",1,0
"dist","020204","agua_red_publica",1,0
"dist","020204","desague_red_publica",0,
"dist","020204","electricidad",1,0
"dist","020204","cocina_lena",1,0
"dist","020304","piso_tierra",.8136674,.1629381
"dist","020304","agua_red_publica",1,0
"dist","020304","desague_red_publica",.5785227,.360117
"dist","020304","electricidad",1,0
"dist","020304","cocina_lena",1,0
"dist","020305","piso_tierra",1,0
"dist","020305","agua_red_publica",.875,0
"dist","020305","desague_red_publica",0,
"dist","020305","electricidad",.875,0
"dist","020305","cocina_lena",.875,0
"dist","020306","piso_tierra",1,0
"dist","020306","agua_red_publica",1,0
"dist","020306","desague_red_publica",.125,0
"dist","020306","electricidad",.875,0
"dist","020306","cocina_lena",1,0
"dist","020401","piso_tierra",.2581777,.6839767
"dist","020401","agua_red_publica",1,0
"dist","020401","desague_red_publica",.8709111,.1013809
"dist","020401","electricidad",1,0
"dist","020401","cocina_lena",.8790889,.1004378
"dist","020402","piso_tierra",.75,0
"dist","020402","agua_red_publica",1,0
"dist","020402","desague_red_publica",.625,0
"dist","020402","electricidad",.875,0
"dist","020402","cocina_lena",1,0
"dist","020501","piso_tierra",.5,0
"dist","020501","agua_red_publica",1,0
"dist","020501","desague_red_publica",1,0
"dist","020501","electricidad",1,0
"dist","020501","cocina_lena",.5,0
"dist","020505","piso_tierra",.5,0
"dist","020505","agua_red_publica",.875,0
"dist","020505","desague_red_publica",.625,0
"dist","020505","electricidad",.875,0
"dist","020505","cocina_lena",.875,0
"dist","020508","piso_tierra",0,
"dist","020508","agua_red_publica",1,0
"dist","020508","desague_red_publica",.8333333,1.66e-17
"dist","020508","electricidad",.8333333,1.66e-17
"dist","020508","cocina_lena",.5,0
"dist","020509","piso_tierra",.875,1.59e-17
"dist","020509","agua_red_publica",.625,0
"dist","020509","desague_red_publica",0,
"dist","020509","electricidad",1,0
"dist","020509","cocina_lena",.875,1.59e-17
"dist","020601","piso_tierra",.4114816,.3452713
"dist","020601","agua_red_publica",1,0
"dist","020601","desague_red_publica",.8426189,.1083912
"dist","020601","electricidad",1,0
"dist","020601","cocina_lena",.6136888,.3068319
