grupo,indicador,resultado,cv
16,piso_tierra,0.19420258158629733,0.08338427653396475
16,agua_red_publica,0.5302704045090654,0.06382830583525209
16,desague_red_publica,0.44670307080249694,0.07340394948056872
16,electricidad,0.7918227520779593,0.030289768997202
16,cocina_lena,0.5439572608169155,0.05168567317819656
17,piso_tierra,0.08703562697640546,0.1592850199399568
17,agua_red_publica,0.8483495632537384,0.03138479412299015
17,desague_red_publica,0.45122863019298604,0.11634710382785143
17,electricidad,0.9238104719587124,0.02088779479016423
17,cocina_lena,0.16223957526951857,0.1428119891515772
18,piso_tierra,0.20055927865061077,0.13152833454384139
18,agua_red_publica,0.9197556909335289,0.01721911546875215
18,desague_red_publica,0.8556091269490836,0.024786371905020886
18,electricidad,0.9444623731683298,0.015779423871862302
18,cocina_lena,0.3287166226030005,0.09598095489964095
19,piso_tierra,0.1761187434973016,0.14575487017211208
19,agua_red_publica,0.7675274742349243,0.035774994889113294
19,desague_red_publica,0.6199956977580509,0.05647290856504251
19,electricidad,0.8992989374660315,0.02273698364520823
19,cocina_lena,0.5529035952586859,0.05802074784203711
20,piso_tierra,0.3524345856665169,0.058605517219446644
20,agua_red_publica,0.8331800483021478,0.019909719159317253
20,desague_red_publica,0.6086626164515357,0.046785012429225795
20,electricidad,0.9449468525682698,0.009743432203942245
20,cocina_lena,0.415821123381037,0.062028103531370594
21,piso_tierra,0.47728044824847426,0.06402067068164237
21,agua_red_publica,0.6921474691485658,0.042724721473667335
21,desague_red_publica,0.48537409251368047,0.07870310254367932
21,electricidad,0.9243383170836738,0.012472331812602154
21,cocina_lena,0.4509046891647969,0.06101170115613294
22,piso_tierra,0.3573545688285595,0.06941628810109639
22,agua_red_publica,0.8760288172863384,0.021866446589166453
22,desague_red_publica,0.49867268001488374,0.06663404452352678
22,electricidad,0.9517644090505076,0.009956427031770913
22,cocina_lena,0.6707472505097576,0.03422393921033768
23,piso_tierra,0.10234181256114339,0.14462449752223897
23,agua_red_publica,0.9159888062917902,0.019073282095461698
23,desague_red_publica,0.9002289955452693,0.02064657789886015
23,electricidad,0.9650665869851188,0.011848355144801679
23,cocina_lena,0.20978643575709993,0.10380213939006055
24,piso_tierra,0.2378262505791751,0.07690257222975017
24,agua_red_publica,0.820273156654105,0.03639235700214864
24,desague_red_publica,0.7149378614588489,0.04016462123969078
24,electricidad,0.9848447245318933,0.005008209782119216
24,cocina_lena,0.19204708765496367,0.10866215141055084
25,piso_tierra,0.20286255672225353,0.08372866511737218
25,agua_red_publica,0.736516536077878,0.035106084748823416
25,desague_red_publica,0.38751370280962666,0.07747695497298884
